,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,39,3,0.34492779371158216,0,0
circuit001.qasm,69,7,0.6131662607362388,1,1
circuit003.qasm,82,2,0.7499999999999994,1,1
circuit004.qasm,67,0,0.6767766952966366,1,1
circuit006.qasm,89,0,0.9176237822087159,1,1
circuit009.qasm,21,2,0.1982233047033637,0,0
circuit011.qasm,69,2,0.6249999999999999,1,1
circuit017.qasm,22,1,0.17233495705504537,0,0
circuit018.qasm,37,2,0.35747936963188054,0,0
circuit022.qasm,40,3,0.32322330470336336,0,0
circuit026.qasm,23,1,0.190640783230886,0,0
circuit030.qasm,22,1,0.25000000000000044,0,0
circuit037.qasm,27,2,0.28661165235168196,0,0
circuit038.qasm,42,1,0.3943831319696847,0,0
circuit039.qasm,26,2,0.3071383476483189,0,0
circuit044.qasm,37,1,0.3996152937115823,0,0
circuit045.qasm,22,2,0.15280370705504515,0,0
circuit049.qasm,26,2,0.3383883476483188,0,0
circuit050.qasm,45,1,0.3857233047033629,0,0
circuit055.qasm,38,0,0.36741747852752255,0,0
circuit056.qasm,63,3,0.6379441738241589,1,1
circuit059.qasm,78,2,0.7499999999999996,1,1
circuit060.qasm,33,3,0.3416917502555425,0,0
circuit064.qasm,39,1,0.38281250000000017,0,0
circuit067.qasm,55,3,0.6010072827198008,1,1
circuit070.qasm,62,2,0.6075050033032217,1,1
circuit071.qasm,27,5,0.33126578323088574,0,0
circuit072.qasm,41,1,0.3750000000000003,0,0
circuit073.qasm,26,1,0.3232233047033634,0,0
circuit075.qasm,21,1,0.12500000000000078,0,0
circuit077.qasm,27,2,0.32322330470336325,0,0
circuit078.qasm,78,3,0.8383883476483178,1,1
circuit080.qasm,69,3,0.7354854345603978,1,1
circuit082.qasm,62,7,0.6006146848159402,1,1
circuit083.qasm,22,2,0.12500000000000078,0,0
circuit088.qasm,57,2,0.620053739104047,1,1
circuit089.qasm,61,1,0.6249999999999998,1,1
circuit093.qasm,35,5,0.33214623926376163,0,0
circuit094.qasm,41,4,0.38415291308792077,0,0
circuit095.qasm,64,4,0.669194173824159,1,1
circuit097.qasm,43,2,0.375,0,0
circuit098.qasm,64,1,0.6369963586400991,1,1
circuit099.qasm,22,0,0.2866116523516816,0,0
circuit101.qasm,74,1,0.8276650429449548,1,1
circuit103.qasm,22,4,0.2683058261758413,0,0
circuit105.qasm,57,3,0.6186092227760895,1,1
circuit111.qasm,34,2,0.3102791308792041,0,0
circuit114.qasm,69,2,0.7499999999999997,1,1
circuit119.qasm,30,3,0.2919733047033635,0,0
circuit121.qasm,34,3,0.3887293696318808,0,0
circuit122.qasm,62,2,0.6421280324642584,1,1
circuit123.qasm,71,2,0.6319291547163131,1,1
circuit125.qasm,13,7,0.1418701528627665,0,0
circuit127.qasm,32,2,0.3630001537256544,0,0
circuit132.qasm,66,3,0.7042354345603976,1,1
circuit133.qasm,85,1,0.9095673531442079,1,1
circuit134.qasm,35,0,0.28488952738362483,0,0
circuit135.qasm,42,2,0.3705385327198012,0,0
circuit136.qasm,76,0,0.713388347648318,1,1
circuit137.qasm,31,2,0.24463834764831893,0,0
circuit145.qasm,71,3,0.6249999999999997,1,1
circuit147.qasm,85,2,0.908470869120795,1,1
circuit148.qasm,34,4,0.20312500000000072,0,0
circuit150.qasm,53,5,0.6142766952966366,1,1
circuit151.qasm,95,3,0.9267766952966365,1,1
circuit152.qasm,75,1,0.7392766952966366,1,1
circuit154.qasm,69,3,0.6950825214724776,1,1
circuit155.qasm,56,1,0.6182099487954539,1,1
circuit161.qasm,62,4,0.658293365334277,1,1
circuit164.qasm,93,3,0.9374999999999993,1,1
circuit165.qasm,60,2,0.6169575214724774,1,1
circuit166.qasm,27,2,0.2645145654396024,0,0
circuit172.qasm,72,2,0.6691941738241587,1,1
circuit173.qasm,29,1,0.28661165235168196,0,0
circuit174.qasm,92,2,0.9267766952966361,1,1
circuit178.qasm,42,0,0.3167512177912839,0,0
circuit180.qasm,60,2,0.6127736628323779,1,1
circuit181.qasm,77,2,0.8535533905932733,1,1
circuit182.qasm,61,1,0.6066941738241588,1,1
circuit186.qasm,30,2,0.2591529130879206,0,0
circuit191.qasm,67,3,0.6874999999999998,1,1
circuit197.qasm,75,3,0.7180222988241589,1,1
circuit200.qasm,62,2,0.6639236956799499,1,1
circuit201.qasm,69,4,0.7271177172801987,1,1
circuit202.qasm,33,2,0.2995558261758411,0,0
circuit210.qasm,70,1,0.6483225107362383,1,1
circuit212.qasm,63,2,0.7163492924096972,1,1
circuit214.qasm,44,1,0.3986674785275226,0,0
circuit215.qasm,82,2,0.853553390593273,1,1
circuit216.qasm,86,1,0.8535533905932731,1,1
circuit224.qasm,32,3,0.294424152351682,0,0
circuit231.qasm,37,0,0.39330582617584103,0,0
circuit232.qasm,39,3,0.3777621358640101,0,0
circuit234.qasm,80,3,0.6727891356084676,1,1
circuit237.qasm,71,3,0.7567496955521787,1,1
circuit240.qasm,42,4,0.3719602554958907,0,0
circuit241.qasm,15,1,0.1288684844067267,0,0
circuit242.qasm,73,2,0.7196978151840594,1,1
circuit243.qasm,64,3,0.6249999999999997,1,1
circuit244.qasm,25,3,0.24777913087920445,0,0
